id,ids of components,two_components,relation type
4761,"[1685, 1630]","['Kyiv has not evacuated civilians from those areas.', ""That is the reason for the European Union's decision to impose tougher sanctions.""]",no relation
4762,"[3860, 4053]","['I am\nnot familiar with the fact that Russia had agreed to a\nchange in the format', 'What we need in\norder to move forward is a solid security foundation']",no relation
4763,"[1637, 1623]","['Let this tragedy at least serve as a warning to all the parties.', 'It is irrefutable.']",no relation
4764,"[2813, 2616]","['The Jordanian representative a few moments ago\nmentioned the risk from the deteriorating security\nsituation to access to the MH-17 crash site.', 'It should also seek to\nsatisfy the reasonable concerns of all parties and\nachieve a balance of interests among them.']",no relation
4765,"[2287, 2380]","['The\nUkrainian film director Oleg Sentsov is also being\nillegally held captive.', 'That investigation is independent.']",no relation
4766,"[1217, 1373]","['the continuation of those actions runs counter to the letter and spirit of the Geneva agreement signed in April.', 'They must be able to operate unhindered and in security.']",no relation
4767,"[292, 46]","['That blood has been shed in a war that Russia is waging against Ukraine.', 'As a result, blood has already been shed in the South-East and the situation is extremely dangerous.']",no relation
4768,"[3168, 2881]","['Some of them openly use Nazi symbols.', ""Russian-supported militants have not extended\nsecurity guarantees to OSCE personnel in all areas that\nthey control, and obstruct the Mission's monitoring\nactivities.""]",no relation
4769,"[2511, 2631]","['Any deferral of a political solution based on the\npeace agreements will only further exacerbate violence\nand instability and bring about a worsening of the\nhumanitarian situation, which must be addressed.', 'We condemn in the strongest terms this interference in\nUkrainian internal affairs']",no relation
4770,"[2197, 2173]","['Those principles, which opened a genuine path towards\na peaceful resolution of the conflict, were agreed by\nRussia, the United States, Ukraine and the European\nUnion on 17 April, in Geneva', 'Chad believes that the situation is not\nsimply fragile, as stated in the report; rather, we are on\nthe verge of an acute humanitarian crisis.']",no relation
4771,"[2376, 2335]","['The Ukrainian\nrepresentative has made no attempt to reply to a single\none of those questions.', 'Both those votes are\nan integral part of the peace process and are vital for\nan inclusive dialogue at the national level.']",no relation
4772,"[2835, 3028]","['The commitment to the implementation of the\nagreements was confirmed during the high-level\nmeeting held in Milan on 17 October, in which the\nPresident of the Russian Federation participated.', 'If\nRussia is indeed sending humanitarian aid, what does\nit have to hide?']",no relation
4773,"[1766, 1912]","['It has been affirmed both by the radio interception of terrorist leaders and by photographs and video-recordings obtained from citizens of cities in the area, that the terrorists have at least two SA-ll Buk missile systems.', 'it is also essential to establish\naccountability for the human rights violations and\nabuses that have taken place during the war against\nUkraine.']",no relation
4774,"[3996, 4135]","['it is quite convenient that Germany is also\nan active member of Normandy format, and indeed,\nthanks to its international prestige, Germany has given\nthe package of measures more weight.', 'Kyiv must be required to implement\nthem.']",no relation
4775,"[125, 367]","['That is a pattern that is all too familiar.', 'It is true that the people in Washington, DC, to whom we did not send the letter, have already poisoned it for the European Union, calling it economic blackmail.']",no relation
4776,"[1017, 723]","['the same strategy of occupying buildings and taking control ofthe media', 'Kernes had indeed spoken out about the chaos in other regions of Ukraine, and there were serious political battles between him and one of the heads of the defence and law-enforcement agencies.']",no relation
4777,"[1776, 1560]","['Some colleagues have today given some information about the Luhansk and Donetsk leaders proclaiming republics.', 'In the three weeks since the Council last discussed the situation in Ukraine (see S/PV.7205), the security situation in the east has become increasingly dire.']",no relation
4778,"[2134, 2340]","['as\nthey are critical to the consolidation of democracy and\nto diversity and the rule of law in Ukraine.', 'Moscow must make clear to\nthe militant authorities that that effort will hinder the\npeace process and that the results of that illegal vote,\norganized in violation of Ukrainian legislation, will\nnever be recognized.']",no relation
4779,"[3638, 3920]","['Mariupol is home to 92 preschools attended\nby 13,000 children.', 'Whether it be in the field or in\ntheir respective missions in the Balkans, the Caucasus\nor Central Asia, they must always act in an integrated\nmanner.']",no relation
4780,"[1027, 811]","['Pro-Russian separatists have seized the Donetsk railway control centre and stopped almost all train movements.', ""The intent here could not be more clear - it is to prevent Ukraine's return to normality.""]",no relation
4781,"[1447, 1334]","['Ukrainian pilot Nadia Savchenko, who has long had a distinguished career in the Ukrainian military, was taken by separatists in mid-June.', 'I would repeat that Russia would never refuse to implement any useful document agreed upon during the crisis, including the 21 February agreement.']",no relation
4782,"[2446, 2171]","['NATO confirmed it had observed columns\nof Russian equipment - primarily Russian tanks,\nRussian artillery, Russian air-defence systems and\nRussian combat troops - entering Ukraine over the\npast 48 hours.', 'Chad condemns\nall acts of violence and violations of human rights and\ninternational humanitarian law.']",no relation
4783,"[1072, 997]","[""Today's Russian Foreign Ministry ridiculous and false statement purporting Western intervention would not be so alarming if it did not suggest that Moscow is looking for nothing short ofa pretext to invade."", 'The first falsehood is that the Ukrainians are carrying out a large-scale, uncontrolled, violent attack on unarmed civilians.']",no relation
4784,"[1565, 1281]","['Russia has a crucial role to play in de-escalating this persistently dangerous crisis.', ""we call on our Russian partners to immediately stop supporting all the illegal militants on Ukraine's territory and other actions aimed at undermining the sovereignty and territorial integrity of my country.""]",no relation
4785,"[729, 575]","['Tsarev was stripped of his right to participate in the televised debates.', 'My Government joins with responsible Governments everywhere in condemning that unlawful act and in being outraged by the shameful exhibition before the media of those international public servants.']",no relation
